Date,Price,Open,High,Low
8/21/2023,384,386.13,387.57,385.57
8/22/2023,384.79,386.13,387.07,385.39
8/23/2023,385.8,385.79,387.05,385.39
8/24/2023,384.96,386.8,387.4,385.48
8/25/2023,384.98,385.96,386.64,385.28
8/28/2023,384.99,385.98,385.99,385.95
8/29/2023,385.15,385.99,386.15,385.99
8/30/2023,384.98,386.15,386.15,385.98
8/31/2023,384.78,385.98,385.98,385.78
9/1/2023,384.9,385.78,385.9,385.78
9/4/2023,384.9,385.9,385.9,385.9
9/5/2023,384.81,385.9,387.5,385.81
9/6/2023,384.83,385.81,387.5,384.9
9/7/2023,384.68,385.83,387.5,384.74
9/8/2023,384.65,385.68,386.84,384.83
9/11/2023,385.1,385.65,387.05,384.83
9/12/2023,384.84,386.1,387.05,384.42
9/13/2023,385.23,385.84,386.36,385.02
9/14/2023,384,386.23,387.61,384.25
9/15/2023,385.35,386.04,387.67,384.4
9/18/2023,384.81,386.35,387.67,384.5
9/19/2023,385.14,385.81,387.07,384.6
9/20/2023,385.35,386.14,387.67,384.7
9/21/2023,385.35,386.35,387.67,386.17
9/22/2023,386.24,386.35,388.62,384.1
9/25/2023,386.5,387.24,388.75,385.62
9/26/2023,386.71,387.5,388.86,387.25
9/27/2023,387.59,387.71,389.3,387.36
9/28/2023,389.88,388.59,392.44,386.8
9/29/2023,396.25,390.88,396.25,389.94
10/2/2023,406.9,393.4,407,390.5
10/3/2023,421.45,406.9,421.45,401.61
10/4/2023,428.14,413.45,429.57,413.45
10/5/2023,417.52,429.14,429.57,418.52
10/6/2023,409.12,418.52,418.52,409.56
10/9/2023,403.1,410.12,410.12,404.1
10/10/2023,396.52,404.1,410.5,397.26
10/11/2023,394.22,397.52,398.26,395.11
10/12/2023,396.71,395.22,398.36,395.11
10/13/2023,401.21,397.71,402.21,397.71
10/16/2023,400.22,402.21,402.61,401.11
10/17/2023,400.63,401.22,402.32,400.61
10/18/2023,400.67,401.5,402.33,400.82
10/19/2023,400.82,401.67,402.41,400.83
10/20/2023,400.46,401.82,402.41,400.73
10/23/2023,401.21,401.46,402.61,401.23
10/24/2023,401.35,402.21,402.68,401.61
10/25/2023,401.4,402.35,403.2,399.67
10/26/2023,401.48,402.4,403.24,399.7
10/27/2023,401.55,402.48,403.27,401.74
10/30/2023,401.26,402.55,402.77,401.63
10/31/2023,402,402.26,403.5,399.63
11/1/2023,401.39,403,403.5,401.7
11/2/2023,401.37,402.39,402.39,402.37
11/3/2023,401.22,402.37,403.18,401.61
11/6/2023,401.34,402.22,403.17,401.61
11/7/2023,401.66,402.34,403.33,401.67
11/8/2023,401.51,402.66,403.33,402.26
11/9/2023,401.68,402.51,403.34,402.26
11/10/2023,401.59,402.68,403.34,401.8
11/13/2023,401.99,402.59,403.49,401.8
11/14/2023,402.19,402.99,403.6,402.49
11/15/2023,401.92,403.19,403.6,400.46
11/16/2023,401.72,402.92,403.46,401.86
11/17/2023,401.41,402.72,403.36,401.7
11/20/2023,401.18,402.41,403.2,401.59
11/21/2023,401.55,402.18,403.28,401.59
11/22/2023,401.41,402.55,402.55,402.41
11/23/2023,401.41,402.41,402.41,402.41
11/24/2023,401.18,402.41,403.2,401.59
11/27/2023,401.31,402.18,403.15,401.59
11/28/2023,401.29,402.31,403.65,402.14
11/29/2023,401.5,402.29,403.75,402.14
11/30/2023,401.65,402.5,403.33,401.75
12/1/2023,401.88,402.65,403.44,401.83
12/4/2023,402.05,402.88,403.52,402.44
12/5/2023,401.95,403,403.52,401.98
12/6/2023,402.1,402.95,403.55,400.48
12/7/2023,401,403.1,403.71,402.05
12/8/2023,402.24,403.43,403.71,402.62
12/11/2023,402.54,403.24,403.77,402.62
12/12/2023,402.54,403.54,403.77,403.12
12/13/2023,403.12,403.54,404.12,403.27
12/14/2023,403.58,404.12,404.79,403.5
12/15/2023,404.3,404.58,406.15,403.29
12/18/2023,404.95,405.3,405.95,404.5
12/19/2023,404.81,405.95,406.48,403.5
12/20/2023,404.54,405.81,406.4,402.5
12/21/2023,404.62,405.54,405.81,402.5
12/22/2023,404.6,405.62,406.81,403.8
12/25/2023,404.5,404.5,404.5,404.5
12/26/2023,404.2,404.5,406.1,403.5
12/27/2023,404.18,405.2,406.1,403.59
12/28/2023,404.15,405.18,406.09,404.58
12/29/2023,403.79,405.15,406.08,403.39
1/1/2024,403.79,404.79,404.79,404.79
1/2/2024,403.79,404.79,405.89,404.39
1/3/2024,404.28,404.79,406.14,403.39
1/4/2024,404.42,405.28,406.21,403.64
1/5/2024,404.22,405.42,406.21,403.61
1/8/2024,404,405.22,406.11,403.61
1/9/2024,404.61,405.23,406.3,403.61
1/10/2024,404.48,405.61,406.3,403.74
1/11/2024,404.01,405.48,406.24,405.01
1/12/2024,404.35,405.01,406.17,403.51
1/15/2024,404.35,405.35,406.17,403.67
1/16/2024,404.61,405.35,406.3,403.67
1/17/2024,404.49,405.61,406.3,403.74
1/18/2024,404.25,405.49,406.24,403.63
1/19/2024,404.42,405.25,406.21,403.63
1/22/2024,404.15,405.42,406.21,403.58
1/23/2024,404.12,405.15,406.08,403.56
1/24/2024,405.75,405.12,407.06,403.63
1/25/2024,403.21,405.75,407,403.11
1/26/2024,402.61,404.21,407,402.3
1/29/2024,405.5,403.61,407,402.3
1/30/2024,405.5,405.5,407,402.4
1/31/2024,405.5,403.96,407,402.85
2/1/2024,405.99,405.5,407,402.35
2/2/2024,405.99,405.99,407,402.43
2/5/2024,406.24,404,406.63,402.27
2/6/2024,405.99,406.24,407,402.77
2/7/2024,405.99,405.99,407,402.87
2/8/2024,406.24,405.99,407,402.88
2/9/2024,405.99,406.24,407,402.98
2/12/2024,405.99,405.99,407,403.02
2/13/2024,403.23,405.99,407,403.23
2/14/2024,405.74,404.23,407,403.03
2/15/2024,406,405.74,406.63,403.03
2/16/2024,405.74,406,407,402.88
2/19/2024,405.99,405.74,406.71,403.45
2/20/2024,405.99,405.99,406.73,402.96
2/21/2024,406.24,405.99,406.73,403.17
2/22/2024,406.24,406.24,406.68,402.92
2/23/2024,405.99,406.24,406.68,402.92
2/26/2024,405.62,405.99,406.71,403.17
2/27/2024,406.24,405.62,406.71,402.95
2/28/2024,406,406.24,406.71,402.91
2/29/2024,406.24,406,406.66,402.83
3/1/2024,402.49,406.24,406.58,402.99
3/4/2024,401.49,404.24,405.07,402.27
3/5/2024,401.74,403.74,405.07,403.02
3/6/2024,401.49,403.87,405.02,402.97
3/7/2024,401,403.74,404.97,402.36
3/8/2024,400,403.5,404.86,402.35
3/11/2024,400,403,404.85,402.29
3/12/2024,402.75,403,404.79,401.94
3/13/2024,402.75,402.75,404.69,401.45
3/14/2024,402.75,402.75,404.45,401.58
3/15/2024,402.5,402.75,404.33,401.32
3/18/2024,402.5,402.63,404.32,400.98
3/19/2024,400.27,402.5,403.48,400.39
3/20/2024,398.77,401.27,403.14,399.77
3/21/2024,397.48,399.77,399.77,398.48
3/22/2024,396.76,398.48,402.5,397.38
3/25/2024,396.76,397.76,402.5,395.88
3/26/2024,395.05,397.76,398.88,394.52
3/27/2024,393.71,396.05,398.02,394.36
3/28/2024,393.46,394.71,395.86,393.23
3/29/2024,392.28,394.46,395.23,393.14
4/1/2024,390.97,393.28,394.64,391.48
4/2/2024,390,391.97,393.64,390.99
4/3/2024,388.72,390.99,392.5,387.86
4/4/2024,387.59,389.72,392.5,387.3
4/5/2024,387.47,388.59,392.5,388.23
4/8/2024,388.04,388.47,392.5,387.23
4/9/2024,388.61,389.04,391.5,389.02
4/10/2024,389,389.61,391.68,389.3
4/11/2024,390.46,390.37,391.46,390.37
4/12/2024,390.45,391.46,396.5,391.45
4/15/2024,392.84,396.5,397.5,393.42
4/16/2024,396.75,393.84,397.38,393.84
4/17/2024,395.76,396.75,397.11,393.86
4/18/2024,394.1,395.76,397.11,393.55
4/19/2024,393.07,395.1,395.55,393.54
4/22/2024,391.6,392.6,392.8,392.3
4/23/2024,390.45,391.45,392.22,390.72
4/24/2024,389.04,391.45,392.22,390.02
4/25/2024,389.03,390.03,390.52,389.02
4/26/2024,387.6,390.03,390.03,388.6
4/29/2024,387.08,388.08,389.04,387.54
4/30/2024,386.81,387.81,389.5,387.81
5/1/2024,386,387.81,389,387.4
5/2/2024,387,388,389,387.5
5/3/2024,386.32,388,389.5,387.32
5/6/2024,387,387.32,389.5,387.32
5/7/2024,386.9,387.92,389.5,387.45
5/8/2024,387.01,387.9,389.51,387.9
